Sigle,Goupe_Bancaire,ANNEE,EMPLOI,BILAN,RESSOURCES,FONDS.PROPRE,EFFECTIF,AGENCE,COMPTE,INTERETS.ET.PRODUITS.ASSIMILES,NTERETS.ET.CHARGES.ASSIMILEES,REVENUS.DES.TITRES.A.REVENU.VARIABLE,COMMISSIONS.(PRODUITS),COMMISSIONS.(CHARGES),GAINS.OU.PERTES.NETS.SUR.OPERATIONS.DES.PORTEFEUILLES.DE.NEGOCIATION,GAINS.OU.PERTES.NETS.SUR.OPERATIONS.DES.PORTEFEUILLES.DE.PLACEMENT.ET.ASSIMILES,AUTRES.PRODUITS.D'EXPLOITATION.BANCAIRE,AUTRES.CHARGES.D'EXPLOITATION.BANCAIRE,PRODUIT.NET.BANCAIRE,SUBVENTIONS.D'INVESTISSEMENT,CHARGES.GENERALES.D'EXPLOITATION,DOTATIONS.AUX.AMORTISSEMENTS.ET.AUX.DEPRECIATIONS.DES.IMMOBILISATIONS.INCORPORELLES.ET.CORPORELLES,RESULTAT.BRUT.D'EXPLOITATION,COÛT.DU.RISQUE,RESULTAT.D'EXPLOITATION,GAINS.OU.PERTES.NETS.SUR.ACTIFS.IMMOBILISES,RESULTAT.AVANT.IMPÔT,IMPÔTS.SUR.LES.BENEFICES,RESULTAT.NET,source,CAISSE.BANQUE.CENTRALE.CCP,EFFETS.PUBLICS.ET.VALEURS.ASSIMILÉES,CRÉANCES.INTERBANCAIRES.ET.ASSIMILÉES,CRÉANCES.SUR.LA.CLIENTÈLE,OBLIGATIONS.ET.AUTRES.TITRES.À.REVENU.FIXE,ACTIONS.ET.AUTRES.TITRES.À.REVENU.VARIABLE,ACTIONNAIRES.OU.ASSOCIÉS,AUTRES.ACTIFS,COMPTES.DE.RÉGULARISATION,PARTICIPATIONS.ET.AUTRES.TITRES.DÉTENUS.À.LONG.TERME,PARTS.DANS.LES.ENTREPRISES.LIÉES,PRÊTS.SUBORDONNÉS,IMMOBILISATIONS.INCORPORELLES,IMMOBILISATIONS.CORPORELLES,BANQUE.CENTRALE.CCP,DETTES.INTERBANCAIRES.ET.ASSIMILÉES,DETTES.À.L.ÉGARD.DE.LA.CLIENTÈLE,DETTES.REPRÉSENTÉES.PAR.UN.TITRE,AUTRES.PASSIFS,PROVISIONS,EMPRUNTS.ET.TITRES.ÉMIS.SUBORDONNES,CAPITAUX.PROPRES.ET.RESSOURCES.ASSIMILÉES,CAPITAL.SOUSCRIT,PRIMES.LIÉES.AU.CAPITAL,RÉSERVES,ÉCARTS.DE.RÉÉVALUATION,PROVISIONS.RÉGLEMENTÉES,REPORT.À.NOUVEAU,RÉSULTAT.DE.LEXERCICE
BGFI,Groupes Règionaux,2019,53944.0,87985.0,59855.0,3530.0,63.0,2.0,1534.0,4834.0,3689.0,,1513.0,256.0,33.0,,89.0,3.0,2521.0,,4415.0,503.0,-2397.0,3731.0,-6128.0,,-6128.0,5.0,-6133.0,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGFI,Groupes Règionaux,2020,73108.0,139696.0,57508.0,,62.0,2.0,1778.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,Groupes Locaux,2015,218840.0,278322.0,215423.0,30821.0,21.0,13.0,139533.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,Groupes Locaux,2016,260162.0,318410.0,219166.0,36614.0,231.0,15.0,166654.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,Groupes Locaux,2018,305960.0,376718.0,256296.0,,265.0,19.0,199872.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,Groupes Locaux,2019,338146.0,427050.0,272043.0,,289.0,22.0,227631.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,Groupes Locaux,2020,357725.0,471204.0,336205.0,,282.0,25.0,220345.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,Groupes Locaux,2021,376905.0,,,50088.0,,,,29593.0,12575.0,0.0,5430.0,1259.0,283.0,0.0,161.0,14.0,21619.0,0.0,14241.0,2202.0,5176.0,1392.0,3784.0,193.0,3977.0,628.0,3349.0,bceao_pdf_2021,26684.0,61679.0,26561.0,376905.0,1673.0,0.0,0.0,21235.0,886.0,539.0,16.0,1338.0,1098.0,14203.0,0.0,99218.0,352184.0,20599.0,7706.0,1601.0,0.0,50088.0,10500.0,0.0,36225.0,0.0,0.0,14.0,3349.0
BHS,Groupes Locaux,2022,419539.0,,,52686.0,,,,34208.0,11406.0,0.0,6362.0,1370.0,-479.0,0.0,310.0,44.0,27581.0,0.0,15552.0,2333.0,9696.0,5051.0,4645.0,406.0,5051.0,615.0,4436.0,bceao_pdf_2022,26318.0,75266.0,15672.0,419539.0,1120.0,0.0,0.0,8579.0,1003.0,539.0,16.0,1452.0,639.0,14134.0,0.0,84118.0,404621.0,13733.0,6007.0,1538.0,0.0,52686.0,10500.0,0.0,37727.0,0.0,0.0,23.0,4436.0
BICIS,Groupes Internationaux,2015,224354.0,430615.0,343456.0,30941.0,440.0,32.0,126173.0,,,,,,,,,,,,,,,,,,,,,excel_2015_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
